Date,Replicates,Box,Reactor,Rack,As-of-2020-11-22(Yes/No Existing),Replicates-as-of-2020-11-23
2/2/05,1,1,R1,,Y,1
2/3/05,1,1,R1,,N,0
2/7/05,5,1,R1,,Y,5
2/8/05,1,1,R1,,Y,1
2/10/05,1,1,R1,,Y,1
2/14/05,1,1,R1,,Y,1
2/20/05,1,1,R1,,Y,1
2/24/05,1,1,R1,,Y,1
2/28/05,1,1,R1,,Y,1
3/3/05,1,1,R1,,Y,1
3/9/05,1,1,R1,,N,0
3/10/05,1,1,R1,,Y,1
3/13/05,1,1,R1,,Y,1
3/17/05,1,1,R1,,Y,1
3/28/05,1,1,R1,,Y,1
4/5/05,2,1,R1,,Y,1
4/7/05,2,1,R1,,Y,2
4/11/05,NA,1,R1,,Y,1
4/12/05,2,1,R1,,Y,1
4/14/05,2,1,R1,,Y,2
4/18/05,1,1,R1,,Y,1
4/19/05,1,1,R1,,Y,1
4/21/05,2,1,R1,,Y,2
4/25/05,1,1,R1,,Y,1
4/26/05,1,1,R1,,Y,1
4/28/05,2,1,R1,,Y,2
5/1/05,1,1,R1,,Y,1
5/3/05,2,1,R1,,Y,1
5/26/05,2,1,R1,,Y,2
5/31/05,2,1,R1,,Y,2
6/2/05,2,1,R1,,Y,1
6/14/05,1,1,R1,,Y,1
6/16/05,2,1,R1,,Y,2
6/21/05,1,1,R1,,Y,1
6/23/05,2,1,R1,,Y,2
6/27/05,2,1,R1,,Y,2
6/29/05,2,1,R1,,Y,2
7/5/05,2,1,R1,,Y,1
7/7/05,2,1,R1,,Y,2
7/12/05,2,1,R1,,Y,2
7/14/05,2,1,R1,,Y,2
7/18/05,2,1,R1,,Y,2
7/20/05,2,1,R1,,Y,2
7/26/05,2,1,R1,,Y,2
7/28/05,2,1,R1,,Y,2
8/2/05,2,1,R1,,Y,1
8/4/05,2,1,R1,,Y,2
8/9/05,2,1,R1,,Y,2
8/11/05,2,1,R1,,Y,2
8/15/05,2,1,R1,,Y,2
8/18/05,1,1,R1,,Y,1
8/18/05,1,2,R1,,Y,1
8/23/05,2,2,R1,,Y,2
8/25/05,2,2,R1,,Y,2
8/31/05,2,2,R1,,Y,2
