,timepoint
R1-2009-01-02,R1-2009-01-02
R1-2009-01-16,R1-2009-01-16
R1-2009-02-05,R1-2009-02-05
R1-2009-02-20,R1-2009-02-20
R1-2009-03-02,R1-2009-03-02
R1-2009-03-19,R1-2009-03-19
R1-2009-04-06,R1-2009-04-06
R1-2009-04-23,R1-2009-04-23
R1-2009-05-04,R1-2009-05-04
R1-2009-05-21,R1-2009-05-21
R1-2009-06-01,R1-2009-06-01
R1-2009-06-18,R1-2009-06-18
R1-2009-07-01,R1-2009-07-01
R1-2009-08-03,R1-2009-08-03
R1-2009-08-20,R1-2009-08-20
R1-2009-09-08,R1-2009-09-08
R1-2009-09-21,R1-2009-09-21
R1-2009-10-05,R1-2009-10-05
R1-2009-10-19,R1-2009-10-19
R1-2009-11-02,R1-2009-11-02
R1-2009-11-16,R1-2009-11-16
R1-2009-12-01,R1-2009-12-01
R1-2009-12-18,R1-2009-12-18
R1-2010-01-08,R1-2010-01-08
R1-2010-01-21,R1-2010-01-21
R1-2010-02-01,R1-2010-02-01
R1-2010-02-18,R1-2010-02-18
R1-2010-03-09,R1-2010-03-09
R1-2010-03-25,R1-2010-03-25
R1-2010-04-08,R1-2010-04-08
R1-2010-04-22,R1-2010-04-22
R1-2010-05-04,R1-2010-05-04
R1-2010-05-20,R1-2010-05-20
R1-2010-06-03,R1-2010-06-03
R1-2010-06-17,R1-2010-06-17
R1-2010-07-01,R1-2010-07-01
R1-2010-07-22,R1-2010-07-22
R1-2010-08-05,R1-2010-08-05
R1-2010-08-19,R1-2010-08-19
R1-2010-09-02,R1-2010-09-02
R1-2010-09-17,R1-2010-09-17
R1-2010-10-08,R1-2010-10-08
R1-2010-10-18,R1-2010-10-18
R1-2010-11-01,R1-2010-11-01
R1-2010-11-19,R1-2010-11-19
R1-2010-12-06,R1-2010-12-06
R1-2010-12-20,R1-2010-12-20
R1-2011-01-04,R1-2011-01-04
R1-2011-01-17,R1-2011-01-17
R1-2011-02-04,R1-2011-02-04
R1-2011-02-18,R1-2011-02-18
R1-2011-03-08,R1-2011-03-08
R1-2011-03-18,R1-2011-03-18
R1-2011-04-05,R1-2011-04-05
R1-2011-04-22,R1-2011-04-22
R1-2011-05-06,R1-2011-05-06
R1-2011-05-19,R1-2011-05-19
R1-2011-06-03,R1-2011-06-03
R1-2011-06-17,R1-2011-06-17
R1-2011-07-01,R1-2011-07-01
R1-2011-07-15,R1-2011-07-15
R1-2011-08-01,R1-2011-08-01
R1-2011-08-15,R1-2011-08-15
R1-2011-09-06,R1-2011-09-06
R1-2011-09-19,R1-2011-09-19
R1-2011-10-07,R1-2011-10-07
R1-2011-10-21,R1-2011-10-21
R1-2011-11-07,R1-2011-11-07
R1-2011-11-21,R1-2011-11-21
R1-2011-12-02,R1-2011-12-02
